tweet_id;media;checked;case_id;title;headline;url
1287463951375179776;abc_es        ;1;0;Condenan a un anciano de 84 años a 24 meses de cárcel por abusar de una niña en Puente Genil;El encausado era vecino de la menor, a la que realizó tocamientos e invitó a tener relaciones sexuales                                                                                                                                                                                                                                                                                                ;https://sevilla.abc.es/andalucia/cordoba/sevi-condenan-anciano-84-anos-24-meses-carcel-abusar-nina-puente-genil-202007261026_noticia.html
1288437861973471232;abc_es        ;1;1;La juez archiva la querella por acoso sexual contra el abogado purgado de Podemos                                                     ;No ve indicios de delito en José Manuel Calvente, quien antes de serr despedido denunció la relación de la letrada Marta Flor con el fiscal del caso Dina                                                                                                                                                                                                                                             ;https://www.abc.es/espana/abci-juez-archiva-querella-acoso-sexual-contra-abogado-purgado-podemos-202007291323_noticia.html
1288541048520744962;abc_es        ;1;2;Prohíben a una mujer acercarse a su marido, al que pinchó con un cuchillo y denunció por abuso a las hijas                          ;Las pequeñas, que residían en Murcia con sus progenitores, han sido recogidas y trasladadas a un centro de menores                                                                                                                                                                                                                                                                                    ;https://www.abc.es/espana/abci-prohiben-mujer-acercarse-marido-pincho-cuchillo-y-denuncio-abuso-hijas-202007291939_noticia.html
1288632903275106304;abc_es        ;1;3;Un escándalo de presuntos abusos sacude a la gimnasia neerlandesa                                                                     ;La federación de gimnasia del país anunció que ha paralizado el programa de preparación de la selección femenina para los Juegos de Tokio                                                                                                                                                                                                                                                               ;https://www.abc.es/deportes/abci-escandalo-presuntos-abusos-sacude-gimnasia-neerlandesa-202007291807_noticia.html
1288919794729836544;abc_es        ;1;4;The Killers investigará las acusaciones de abuso sexual por parte de su equipo de gira                                                ;Durante el tour de promoción en 2009 de «Day & Age», el tercer álbum de la banda de Las Vegas, sus técnicos podrían haber mantenido conductas inadecuadas con una mujer;https://www.abc.es/cultura/abci-killers-investigara-acusaciones-abuso-sexual-parte-equipo-gira-202007301527_noticia.html
1288764366863708161;abc_es        ;1;5;Detenidos dos jóvenes acusados de violar a una chica en un portal del Centro de Málaga                                                ;La víctima y los presuntos agresores, que están de vacaciones en la ciudad, se conocieron en una discoteca y, al parecer, uno de ellos la acompañó al lugar donde se hospeda                                                                                                                                                                                                                          ;https://www.abc.es/sociedad/abci-detenidos-jovenes-acusados-violar-chica-portal-centro-malaga-202007301100_noticia.html
1287720643971231745;abc_es        ;1;6;Detenido en Cartagena un pederasta norirlandés que daba clase a menores                                                               ;Fue condenado en los años 90 por cometer 12 delitos contra la indemnidad sexual cuando era director y profesor de escuela, por los que cumplió 18 meses de prisión y fue inhabilitado para ejercer la docencia en Reino Unido;https://www.abc.es/espana/abci-detenido-cartagena-pederasta-norirlandes-daba-clase-menores-202007271147_noticia.html
1289540133042233350;abc_es        ;1;7;Detenido un okupa por abusar sexualmente de una joven durante una fiesta                                                              ;Los hechos tuvieron lugar el pasado 24 de julio en un piso usurpado del distrito de Latina;https://www.abc.es/espana/madrid/abci-detenido-okupa-abusar-sexualmente-joven-durante-fiesta-202008011414_noticia.html
1291068955637972993;abc_es        ;1;4;The Killers no encuentran evidencias de que su equipo de gira abusara sexualmente de una mujer                                        ;El equipo legal de la banda organizó una investigación la semana pasada tras las «desgarradoras» acusaciones de una exmiembro de la gira del grupo en 2009 en Twitter;https://www.abc.es/cultura/abci-killers-no-encuentran-evidencias-equipo-gira-abusara-sexualmente-mujer-202008050048_noticia.html
1290386960859660289;abc_es        ;1;9;La Fiscalía de París pide reabrir una investigación sobre una denuncia por violación contra Gérard Depardieu                          ;Una joven actriz denunció al monstruo del cine francés en 2018 y el caso se cerró por falta de pruebas;https://www.abc.es/estilo/gente/abci-fiscalia-paris-pide-reabrir-investigacion-sobre-denuncia-violacion-contra-gerard-depardieu-202008031304_noticia.html
1289970468938584065;abc_es        ;1;10;Detenido en Barcelona un hombre por retener tres días y violar a su expareja                                                          ;Le rompió el móvil para que no pudiera comunicarse con el exterior, sometiéndola a una situación de pánico permanente y manteniendo un control estricto sobre ella.                                                                                                                                                                                                                                   ;https://www.abc.es/espana/catalunya/abci-detenido-barcelona-hombre-retener-tres-dias-y-violar-expareja-202008021758_noticia.html
